,Title,Writer(s),Date,Link
454,SideShow: YOUR DAILY DOSE OF GOSSIP,"Derakhshani, Tirdad. 
",2014-01-21,proquest.com/docview/1490817888/fulltext/A14CBEB8DEBE428APQ/36
455,Kenney: Tickets suitable for pot: His bill would eliminate mandatory arrests for possession. Officers could issue a summons.,"Graham, Troy. 
",2014-01-22,proquest.com/docview/1490998784/fulltext/E926B070CCFF4F1FPQ/15
456,"Trial has love, drugs, betrayal: Undercover officer charged with leaking information to lover who faced drug charges.","Roebuck, Jeremy. 
",2014-01-22,proquest.com/docview/1490998744/fulltext/E926B070CCFF4F1FPQ/31
457,Standing up for a cause: Grandfather protests for medical marijuana and his family.,"Hefler, Jan. 
",2014-01-24,proquest.com/docview/1492748353/fulltext/C864B1B7DF5F4326PQ/18
458,Corbett not tempted by Colo.'s pot of gold: Says tax windfall from legal marijuana not worth it.,"Thomas Fitzgerald INQUIRER POLITICS WRITER. 
",2014-01-24,proquest.com/docview/1492748206/fulltext/C864B1B7DF5F4326PQ/25
459,Pa. nurses' group backs medical pot,"Amy Worden INQUIRER HARRISBURG BUREAU. 
",2014-01-24,proquest.com/docview/1492748430/fulltext/C864B1B7DF5F4326PQ/29
460,SideShow: YOUR DAILY DOSE OF GOSSIP,"Derakhshani, Tirdad. 
",2014-01-24,proquest.com/docview/1492748585/fulltext/C864B1B7DF5F4326PQ/57
461,Marijuana legalization bill planned by senator: Nicholas P. Scutari said Colorado has been successful allowing recreation use. Christie has said: No way.,"Hefler, Jan. 
",2014-01-25,proquest.com/docview/1492363502/fulltext/318EC9F0F9574862PQ/12
462,Gola beloved in the city he never left: Gola a Philadelphian to the end,"Lyon, Bill. 
",2014-01-27,proquest.com/docview/1492748473/fulltext/5E8CB9E9201B49B5PQ/26
463,GLOUCESTER COUNTY: Well with pollutant is shut down,"Fichera, - Angelo. 
",2014-01-28,proquest.com/docview/1493045149/fulltext/7D8758B4DF704905PQ/43
464,Divided hearing on medical pot: Doctors were among those split in testimony on medical marijuana in Pa.,"Worden, Amy; McCulloughS, Marie. 
",2014-01-29,proquest.com/docview/1492363527/fulltext/C0475742278541E4PQ/14
465,Running for his family's lives,"Brookover, Bob. 
",2014-01-29,proquest.com/docview/1492363446/fulltext/C0475742278541E4PQ/49
466,"'Bird' Parker's life, told in opera: Phila. to premiere opera on jazz icon Parker","David Patrick Stearns INQUIRER MUSIC CRITIC. 
",2014-01-30,proquest.com/docview/1492748449/fulltext/FDB38EFD2C754277PQ/45
467,High on Commish's List: Goodell said NFL could expand playoffs to 14 teams.,"Berman, Zach. 
",2014-02-01,proquest.com/docview/1495271381/fulltext/20E6F8D216EF409EPQ/32
468,Marijuana issue turns Ice Bowl into Pot Bowl: Going from Ice Bowl to Pot Bowl,"Brookover, Bob. 
",2014-02-01,proquest.com/docview/1495271450/fulltext/20E6F8D216EF409EPQ/33
469,"Pa. parole board hears victims' voices: Previously, only letters were allowed to be submitted.","Steele, Allison. 
",2014-02-03,proquest.com/docview/1495974464/fulltext/ACA032A38FF42DDPQ/1
470,"Black eye for N.J.:Misery in Secaucus: As fans arrived by train, they were crammed together for more than an hour in brutal heat. SUPER BOW XLVIII","Rosenberg, Amy S. 
",2014-02-03,proquest.com/docview/1495974678/fulltext/ACA032A38FF42DDPQ/5
471,Early Scandinavians were not wine barbarians,"Avril, Tom. 
",2014-02-04,proquest.com/docview/1495975571/fulltext/CDE719E62FF24ABFPQ/4
472,A wave of heroin deaths in Pa.: Twenty-two people have died from overdoses of a tainted form of the drug in the Pittsburgh area.,"Worden, Amy; VitezS, Michael. 
",2014-02-04,proquest.com/docview/1495975140/fulltext/CDE719E62FF24ABFPQ/7
473,"Hoffman: Always a little danger, a lot of intelligence: AN APPRECIATION","Steven Rea INQUIRER MOVIE CRITIC. 
",2014-02-04,proquest.com/docview/1495975119/fulltext/CDE719E62FF24ABFPQ/45
474,Legalizing pot leads online gambling,"Riordan, Kevin. 
",2014-02-05,proquest.com/docview/1495974774/fulltext/7594245D2DDB4799PQ/22
475,"There's help and hope for addicts: Opiate addiction is no bargain, and recovery is difficult. A local family's story shows the highs and lows.","Riordan, Kevin. 
",2014-02-06,proquest.com/docview/1496786070/fulltext/406CF5AB41D14443PQ/35
476,Today In Philly,,2014-02-06,proquest.com/docview/1496785004/fulltext/406CF5AB41D14443PQ/37
477,SideShow: YOUR DAILY DOSE OF GOSSIP,"Derakhshani, Tirdad. 
",2014-02-06,proquest.com/docview/1496785337/fulltext/406CF5AB41D14443PQ/68
478,Prison for 3 in pizza-delivery death: Accomplices of the gunman in the 2012 killing drew terms of up to 15 years.,"Slobodzian, Joseph A. 
",2014-02-07,proquest.com/docview/1496782535/fulltext/75CD9667EE1345E7PQ/34
479,Paulsboro faces new struggle:Its water: An advisory warns against tap water for very young. Residents have sued.,"Angelo Fichera PAULSBORO. 
",2014-02-09,proquest.com/docview/1497040856/fulltext/DD97DD9C0E50469BPQ/14
480,Home recipes render pot usable: Parents whose children need medical marijuana are learning to make it into a form they can take.,"Hefler, Jan. 
",2014-02-11,proquest.com/docview/1497287584/fulltext/A58F7AC05AB54B87PQ/4
481,GLOUCESTER COUNTY: Food Bank to supply bottled water to Paulsboro residents,"Fichera, - Angelo. 
",2014-02-11,proquest.com/docview/1497287644/fulltext/A58F7AC05AB54B87PQ/27
482,Meth lab discovered during fire in Burlco,"Boren, Michael. 
",2014-02-11,proquest.com/docview/1497287692/fulltext/A58F7AC05AB54B87PQ/33
483,"Pants to melt ice, make hair curl: Norwegian rock stars pick up the slacks.","Fitzpatrick, Frank. 
",2014-02-11,proquest.com/docview/1497287564/fulltext/A58F7AC05AB54B87PQ/49
484,GLOUCESTER COUNTY: Mayor asks plant tied to contamination to supply clean water to more residents,"Fichera, - Angelo. 
",2014-02-12,proquest.com/docview/1497287682/fulltext/190F929ACC374C41PQ/27
485,"Charges in store-robbery spree: Woman, two men accused of holdups in Camden County, Burlco. Cash used to buy drugs, officials say.","Boren, Michael. 
",2014-02-15,proquest.com/docview/1498566635/fulltext/ABECE8F0FAC24FA1PQ/7
486,"After case dismissed, she recalls 'surreal nightmare'","Vitez, Michael. 
",2014-02-16,proquest.com/docview/1498566525/fulltext/2CAB57452E204A2FPQ/7
487,"Over-the-counter danger: Every year, tens of thousands of people are hospitalized and several hundred die from overdoses of acetaminophen. More than 100 lawsuits coming to trial soon will spotlight the problem.","Dribben, Melissa. 
",2014-02-16,proquest.com/docview/1498566491/fulltext/2CAB57452E204A2FPQ/62
488,Database tracks toxics by zip code: Find Toxins in Your Zip Code,"Bauers, Sandy. 
",2014-02-16,proquest.com/docview/1498566485/fulltext/2CAB57452E204A2FPQ/63
489,Delco Council chairman running for state Senate: Tom McGarrigle stressed the need for more jobs in his announcement.,"McCrystal, Laura. 
",2014-02-18,proquest.com/docview/1499319645/fulltext/1B399A308E534723PQ/24
490,Meeting addresses Paulsboro's water contamination,"Fichera, Angelo. 
",2014-02-19,proquest.com/docview/1500059287/fulltext/987B5BF7230E4E9CPQ/13
491,"Ruling is good for Ruiz, Phils","Brookover, Bob. 
",2014-02-19,proquest.com/docview/1500061231/fulltext/987B5BF7230E4E9CPQ/46
492,"Medical-marijuana changes proposed: N.J. lawmakers heard ideas, from adding sites and qualifying ailments to cutting fees.","Hefler, Jan. 
",2014-02-21,proquest.com/docview/1500852966/fulltext/DC51F9CF48A0466CPQ/23
493,Looking to put the 'bad stuff' behind him: Philly's Aaric Murray is working to bring his maturity level up to his talent level.,"Jensen, Mike. 
",2014-02-23,proquest.com/docview/1501464660/fulltext/C2C1012BAB434705PQ/31
494,Does Kelly have some Ducks in his sights?,"Berman, Zach. 
",2014-02-23,proquest.com/docview/1501464666/fulltext/C2C1012BAB434705PQ/36
495,Drexel group links biofilm to eczema itch: Blocked skin ducts activate eczema itch,"Avril, Tom. 
",2014-02-23,proquest.com/docview/1501464668/fulltext/C2C1012BAB434705PQ/55
496,"On cable, crime stalks small-town America: It's not Mayberry out there anymore, as meth labs and ganglords take over the pay-TV landscape.","Derakhshani, Tirdad. 
",2014-02-23,proquest.com/docview/1501464525/fulltext/C2C1012BAB434705PQ/59
497,GLOUCESTER COUNTY: Rowan grad win for documentary,"Giordano, - Rita. 
",2014-02-24,proquest.com/docview/1501677483/fulltext/5FCD9960E5F14A03PQ/16
498,"Ex-narc to testify against others: Jeffrey Walker, a 24-year police veteran who plotted to rip off a drug dealer, will testify against former colleagues in a plea deal.","Roebuck, Jeremy. 
",2014-02-25,proquest.com/docview/1501677435/fulltext/456D042809BE4853PQ/14
499,Streethearts: New Camden cops reach out in a harsh city.,"Boren, Michael. 
",2014-02-25,proquest.com/docview/1501677364/fulltext/456D042809BE4853PQ/20
500,Driver charged in student death: D.A. says the Delco man was high on drugs while he was behind the wheel.,"McCrystal, Laura. 
",2014-02-25,proquest.com/docview/1501677257/fulltext/456D042809BE4853PQ/28
501,News in Brief,#NAME?,2014-02-25,proquest.com/docview/1501675710/fulltext/456D042809BE4853PQ/39
502,Glue a promising alternative to stitches: One adhesive reduces the need for fluid drains after surgery. Another may repair holes in newborns' hearts.,"McCullough, Marie. 
",2014-02-26,proquest.com/docview/1502082623/fulltext/4ABFF88631694BE5PQ/5
503,"Ex-officer, disgraced hero, takes plea deal: He was shot and then turned to heroin, lawyer said. Charges involved assault, prostitution.","Slobodzian, Joseph A. 
",2014-02-26,proquest.com/docview/1502082595/fulltext/4ABFF88631694BE5PQ/13
504,"Disgraced hero takes plea deal: Ex-officer was shot, then turned to drugs, lawyer said. Assault, prostitution involved.","Slobodzian, Joseph A. 
",2014-02-26,proquest.com/docview/1502082466/fulltext/4ABFF88631694BE5PQ/37
505,Penn studies drug that slows heavy drinking: Researchers seek links to genetic profile.,"Burling, Stacey. 
",2014-02-27,proquest.com/docview/1502879722/fulltext/DE6D56AF30B14BF4PQ/5
506,"Heroin use rising in Bucks County: Commissioner says it's the county's No. 1 issue, ahead of development, expenses.","Palmer, Chris. 
",2014-02-27,proquest.com/docview/1502879758/fulltext/DE6D56AF30B14BF4PQ/27
507,Man charged in Burlco fatal drug overdose,"Boren, Michael. 
",2014-02-28,proquest.com/docview/1503160020/fulltext/4F65DF5E436D4B9FPQ/37
508,Leo shimmers in bittersweet dramedy about love,"Derakhshani, Tirdad. 
",2014-02-28,proquest.com/docview/1503160006/fulltext/4F65DF5E436D4B9FPQ/71
509,"Democrats vying for governor square off: The six candidates agreed on most policy issues, sometimes differing on strategy. One pushed minimum wage raise higher.","Thomas Fitzgerald INQUIRER POLITICS WRITER. 
",2014-03-01,proquest.com/docview/1503678252/fulltext/E37D734BB6364189PQ/13
510,17 more drug convictions tossed,"Roebuck, Jeremy. 
",2014-03-01,proquest.com/docview/1503678357/fulltext/E37D734BB6364189PQ/17
511,"Pot an election issue?: As candidate pushes legalization, new poll backs change. Survey: Pot a viable election issue in Pa.","Thomas Fitzgerald INQUIRER POLITICS WRITER. 
",2014-03-02,proquest.com/docview/1503678003/fulltext/B0DFCB96A55B4142PQ/6
512,Pot an Issue in Pa. Race: Democrat vying for governor sets himself apart,"Thomas Fitzgerald INQUIRER POLITICS WRITER. 
",2014-03-02,proquest.com/docview/1503678043/fulltext/B0DFCB96A55B4142PQ/27
513,This 'P&P' invites all to the dance,"David Patrick Stearns INQUIRER MUSIC CRITIC. 
",2014-03-04,proquest.com/docview/1503944061/fulltext/113B21DF601E4BDFPQ/41
514,Reportsassess N.J. pot program: A court found the state Health Department had failed to file progress updates on the system.,"Hefler, Jan. 
",2014-03-05,proquest.com/docview/1504278811/fulltext/2E28A858FACC47A2PQ/18
515,MONTGOMERY COUNTY: Noonan resigns from the bar after his arrest,"Davis, - Carolyn. 
",2014-03-07,proquest.com/docview/1504846181/fulltext/9904189DCC1B42EEPQ/31
516,"Officials want police to carry overdose drug: 12 heroin deaths have been reported this year in Delco, compared with 19 total in '07.","Schaefer, Mari A. 
",2014-03-07,proquest.com/docview/1504846390/fulltext/9904189DCC1B42EEPQ/37
517,SideShow: YOUR DAILY DOSE OF GOSSIP,"Derakhshani, Tirdad. 
",2014-03-07,proquest.com/docview/1504846220/fulltext/9904189DCC1B42EEPQ/64
518,Officer charged with lying,"Moran, Robert. 
",2014-03-08,proquest.com/docview/1506590377/fulltext/68513B2D587A4B9DPQ/18
519,"Vacant, but full of hazard: Phila.'s empty buildings aren't just eyesores. The mayor's budget seeks $2M more for inspectors.","Vargas, Claudia. 
",2014-03-10,proquest.com/docview/1506999715/fulltext/DA852347649B4A79PQ/4
520,BUCKS COUNTY: New ways to report drug tip,"Palmer, - Chris. 
",2014-03-10,proquest.com/docview/1506999722/fulltext/DA852347649B4A79PQ/14
521,Council considers new way on marijuana: Kenney's bill calls for ending arrests for possession of small amounts in most cases.,"Graham, Troy. 
",2014-03-11,proquest.com/docview/1506999708/fulltext/744D73E7A72347E0PQ/14
522,Uncomfortable truths in Matthew Shepard case: Writer found the real villain in the murder was meth.,"Hiltbrand, David. 
",2014-03-11,proquest.com/docview/1506999686/fulltext/744D73E7A72347E0PQ/39
523,A spike in overdoses of heroin,"Fichera, Angelo. 
",2014-03-12,proquest.com/docview/1506999636/fulltext/7E7AB25B847F4C47PQ/37
524,Heroin sends 15 to hospital in one day: Spike in overdoses in Camden on Tuesday is blamed on a bad batch. 14 victims were from the suburbs.,"Iannelli, Jerry. 
",2014-03-13,proquest.com/docview/1508159477/fulltext/D6647695584540E9PQ/16
525,CHESTER COUNTY: Cheap heroin can be big danger,#NAME?,2014-03-13,proquest.com/docview/1507467212/fulltext/D6647695584540E9PQ/27
526,Hanger thins Democratic herd: He said the Wolf media blitz drove him out of race for governor.,"Gambardello, Joseph A; FitzgeraldS, Thomas. 
",2014-03-14,proquest.com/docview/1507467209/fulltext/C1A0A48EF94F45C8PQ/13
527,Gosnell aide gets 5-10 years in prison: Sherry West was involved in the overdose death of a woman who was to have an abortion.,"Slobodzian, Joseph A. 
",2014-03-14,proquest.com/docview/1507466952/fulltext/C1A0A48EF94F45C8PQ/17
528,GLOUCESTER COUNTY: Woodbury shuts down a well,"Fichera, - Angelo. 
",2014-03-14,proquest.com/docview/1507466998/fulltext/C1A0A48EF94F45C8PQ/23
529,Gosnell assistant is sentenced in death of abortion patient: She is to serve from 5 to 10 years in prison. She also admitted lying about the patient and destroying records.,"Slobodzian, Joseph A. 
",2014-03-14,proquest.com/docview/1507466945/fulltext/C1A0A48EF94F45C8PQ/33
530,"Memoir, musings on 2 wheels","Reviewed by Steven Rea. 
",2014-03-16,proquest.com/docview/1507888325/fulltext/116034943BD4BFBPQ/69
531,Questions about inmates' deaths: Allegations of a cover-up and improper care plague the Burlington County Jail after two men died.,"Boren, Michael. 
",2014-03-17,proquest.com/docview/1508282006/fulltext/AA5088C8038348DBPQ/9
532,Charges against Kerns dropped: No traces of drugs found in alleged victim of ex-Montco GOP leader.,"Davis, Carolyn. 
",2014-03-18,proquest.com/docview/1508281922/fulltext/ECD568733EBB4472PQ/1
533,BUCKS COUNTY: Heroin surge prompts antidrug session in Bensalem,#NAME?,2014-03-18,proquest.com/docview/1508281766/fulltext/ECD568733EBB4472PQ/22
534,Dropped rape case sparks a debate: Mistake on drug exposes issues interpreting lab results.,"Finley, Ben; DavisS, Carolyn. 
",2014-03-19,proquest.com/docview/1508574393/fulltext/56A3A902D2D4459EPQ/16
535,"Police probing Taser incident: Delco man says he suffered seizure before arrest for allegedly assaulting officer, medic.","Schaefer, Mari A. 
",2014-03-19,proquest.com/docview/1508574445/fulltext/56A3A902D2D4459EPQ/33
536,Dropped rape case sparks a debate: Mistake in high-profile Penna. rape case exposes issues in interpretation of lab test results.,"Finley, Ben; DavisS, Carolyn. 
",2014-03-19,proquest.com/docview/1508574215/fulltext/56A3A902D2D4459EPQ/38
537,"Pa. reviews dropped case over Kerns: Montco abandoned rape prosecution of the GOP chief after the drug angle did not pan out, but the Attorney General's Office is now looking at the evidence.","Davis, Carolyn. 
",2014-03-22,proquest.com/docview/1509518678/fulltext/C01E9A0BAC4944D2PQ/15
538,"Police dogs getting new home: In Washington Twp., a community effort is underway to build a kennel by headquarters.","Fichera, Angelo. 
",2014-03-22,proquest.com/docview/1509518842/fulltext/C01E9A0BAC4944D2PQ/16
539,"Horrific Crime, Agonizing Aftermath: 50 years ago, two N.J. policemen were slain. One killer, now free, says he is a changed man. Victims' kin say their pain goes on.","Boyer, Barbara. 
",2014-03-23,proquest.com/docview/1509518880/fulltext/F0271CC39F1A4A58PQ/13
540,"Police: Heroin fueled three-week robbery binge: The alleged ""Cinnaminson Trio"" hit convenience and liquor stores.","Boren, Michael. 
",2014-03-24,proquest.com/docview/1509518843/fulltext/C82988BA06FB4D6CPQ/6
541,HEALTH: EMTs to get access to anti-overdose drug,"Lai, - Jonathan. 
",2014-03-24,proquest.com/docview/1509518840/fulltext/C82988BA06FB4D6CPQ/19
542,Bill to end pot arrests on hold for reworking,"Graham, Troy. 
",2014-03-26,proquest.com/docview/1510302811/fulltext/42B2D2C1B90242AAPQ/31
543,Trial starts in boy's beating death,"Slobodzian, Joseph A. 
",2014-03-26,proquest.com/docview/1510302733/fulltext/42B2D2C1B90242AAPQ/34
544,"More states looking at relaxing pot laws: With Colorado in mind, others weigh changes. In N.J., Christie is opposed.","Hefler, Jan. 
",2014-03-27,proquest.com/docview/1510631219/fulltext/9961FFB740594E34PQ/6
545,Woman testifies in son's trial: She described frantically trying to save the 3-year-old who died.,"Slobodzian, Joseph A. 
",2014-03-27,proquest.com/docview/1510631309/fulltext/9961FFB740594E34PQ/32
546,"Defendant admits punching tot: On the stand, he said he did not think the boy had been seriously hurt; the child died. Jury deliberations began.","Slobodzian, Joseph A. 
",2014-03-28,proquest.com/docview/1511038958/fulltext/813FD723AA264062PQ/30
547,Twilight of a marriage among the cafes: Le Week-End *** (Out of four stars) 'Le Week-End',"Steven Rea INQUIRER MOVIE CRITIC. 
",2014-03-28,proquest.com/docview/1511038862/fulltext/813FD723AA264062PQ/69
548,"Climate at Bartram High is worrisome: Violence, drug use, thefts, staff shortages are familiar at the high school, causing concern about the impact on learning, morale, and safety.","Graham, Kristen A; PurcellS, Dylan. 
",2014-03-31,proquest.com/docview/1511684916/fulltext/2C24FE2F03C94A66PQ/2
549,Lyric Fest's salute to women poets,"David Patrick Stearns INQUIRER MUSIC CRITIC. 
",2014-04-01,proquest.com/docview/1511684886/fulltext/2CC4C8BF59341DAPQ/46
550,"U.S. agrees to test toxic contaminant in Paulsboro: N.J. department is also getting involved on PFNA in the water, allegedly coming from a West Deptford plastics company.","Fichera, Angelo. 
",2014-04-02,proquest.com/docview/1512090919/fulltext/550B700C2DB9463EPQ/18
551,Manslaughter verdict in tot's beating: Prosecutors will seek to have Joseph Zysk retried for third-degree murder after a hung jury on that charge.,"Slobodzian, Joseph A. 
",2014-04-02,proquest.com/docview/1512090944/fulltext/550B700C2DB9463EPQ/34
552,Equipping some police with heroin-OD antidote: Pilot program in 2 N.J. counties trains officers to administer Narcan and prevent fatalities.,"Maddie Hanna INQUIRER TRENTON BUREAU. 
",2014-04-03,proquest.com/docview/1512437391/fulltext/B9A77FC7EA084996PQ/16
553,Town to permit medical pot sale: West Deptford ordinance would restrict possible dispensary locations and hours of operation.,"Hefler, Jan. 
",2014-04-03,proquest.com/docview/1512437327/fulltext/B9A77FC7EA084996PQ/21
554,"Phila. officer charged: He allegedly brandished weapon, made threats.","Whelan, Aubrey. 
",2014-04-03,proquest.com/docview/1512437394/fulltext/B9A77FC7EA084996PQ/37
555,"Phila. police: Man beaten, kidnapped, and tattooed","Whelan, Aubrey. 
",2014-04-03,proquest.com/docview/1512437318/fulltext/B9A77FC7EA084996PQ/38
556,A lifesaving drug is gaining appeal: Programs put naloxone within easy reach.,"Sapatkin, Don. 
",2014-04-04,proquest.com/docview/1512647436/fulltext/AF3F07C385C1415EPQ/6
557,Montco defense lawyer pleads guilty over drugs,"Davis, Carolyn. 
",2014-04-08,proquest.com/docview/1513611230/fulltext/F68A2BE84DE3463EPQ/24
558,Questions on trooper's actions: Conflicting accounts stir Chesco brutality case.,"Roebuck, Jeremy. 
",2014-04-09,proquest.com/docview/1514028655/fulltext/BF70CA1BC0C041C2PQ/19
559,"Best foot forward: Before you step out in spring's bejeweled toes, strappy sandals, and funky flip-flops, your winter-weary feet need work.","Elizabeth Wellington INQUIRER FASHION WRITER. 
",2014-04-09,proquest.com/docview/1514028666/fulltext/BF70CA1BC0C041C2PQ/38
560,Repeat topics at Christie forum: Medical marijuana and pig-gestation crates came up again after he laid out plans for the 2015 budget.,"Iannelli, Jerry. 
",2014-04-10,proquest.com/docview/1515781361/fulltext/131B84A914874520PQ/45
561,"Kerns, GOP leaders dine: Montco evening with ex-chair who quit amid rape allegation called just social.","Davis, Carolyn. 
",2014-04-12,proquest.com/docview/1515781162/fulltext/E4FD0E441DF74ABFPQ/14
562,"A Radical Life: In Bucks, echoes of Abbie Hoffman","Finley, Ben. 
",2014-04-13,proquest.com/docview/1515781254/fulltext/1379EB4856A5469CPQ/16
563,"Combat vets' enemy within: Prescribed opiate painkillers to deal with war injuries, some fall prey to powerful addictions.","Vitez, Michael. 
",2014-04-13,proquest.com/docview/1515781124/fulltext/1379EB4856A5469CPQ/57
564,Federal jury acquits trooper of stomping: Kelly Cruz was accused of kicking a handcuffed man in the head during a botched 2009 drug raid.,"Roebuck, Jeremy. 
",2014-04-15,proquest.com/docview/1516225852/fulltext/E9369F2FF66B47D5PQ/16
565,Records indicate inmate needed treatment,"Boren, Michael. 
",2014-04-18,proquest.com/docview/1517476430/fulltext/42775B7B11E14864PQ/3
566,"Store opts out of water distribution: It had been giving free bottles to Paulsboro residents, who face a contamination threat.","Fichera, Angelo. 
",2014-04-19,proquest.com/docview/1517950742/fulltext/A46A5A3133484BC2PQ/9
567,SideShow: YOUR DAILY DOSE OF GOSSIP,"Derakhshani, Tirdad. 
",2014-04-19,proquest.com/docview/1517950189/fulltext/A46A5A3133484BC2PQ/21
568,House for recovering addicts put on hold: Priest steps back over concerns from diocese.,"Fichera, Angelo. 
",2014-04-20,proquest.com/docview/1517949327/fulltext/60637CB2A31A4926PQ/10
569,"Trying times for Paulsboro: Derailment, water woes, photo stress Paulsboro","Riordan, Kevin. 
",2014-04-20,proquest.com/docview/1517950242/fulltext/60637CB2A31A4926PQ/13
570,CORDS OF LIFE: Umbilical cord blood can cure some deadly diseases,"McCullough, Marie. 
",2014-04-20,proquest.com/docview/1517949087/fulltext/60637CB2A31A4926PQ/41
571,Main Line Drug Ring Charges: 11 are accused. Two prep-school grads are seen as the leaders.,"Davis, Carolyn; SchaeferS, Mari A. 
",2014-04-22,proquest.com/docview/1518150909/fulltext/7B82441E1FB7446APQ/3
572,School officials not alerted to drug probe: Some in law enforcement say administrators can be too concerned about protecting schools' images.,"Davis, Carolyn; Chris PalmerSs Mari A. Schaefer; Clark Mindock contributed to this article. 
",2014-04-23,proquest.com/docview/1518541805/fulltext/3E99137A3C094197PQ/3
573,SideShow: YOUR DAILY DOSE OF GOSSIP,"Derakhshani, Tirdad. 
",2014-04-23,proquest.com/docview/1518541685/fulltext/3E99137A3C094197PQ/37
574,Eye doctor arrested on pot counts: The Main Line doctor and his daughter were charged after police seized plants and growing rigs.,"Schaefer, Mari A. 
",2014-04-24,proquest.com/docview/1518749136/fulltext/5E1CC15C2A694353PQ/31
575,"James W. Staerk, prosecutor","McCrystal, Laura. 
",2014-04-24,proquest.com/docview/1518749010/fulltext/5E1CC15C2A694353PQ/35
576,"Back on friendly turf: Missing at Christie town hall: Hecklers, tough questions.","Urgo, Jacqueline L. 
",2014-04-25,proquest.com/docview/1518969441/fulltext/16D91C2BE25C4B04PQ/14
577,Lots of action in this dull Besson rerun: Brick Mansions ** (out of four stars),"Derakhshani, Tirdad. 
",2014-04-25,proquest.com/docview/1518969496/fulltext/16D91C2BE25C4B04PQ/59
578,State revives case in Montco: The Attorney General's Office filed rape charges anew against the former head of the county GOP.,"Davis, Carolyn. 
",2014-04-26,proquest.com/docview/1519411329/fulltext/31B34F10BAE7406BPQ/4
579,"Convicted for drugs, driving right along: Philadelphia has done little to report convicts to PennDot, so they stay on the road - and sometimes take lives. That may be starting to change.","Mark Fazlollah, Dylan Purcell,; McCoyS, Craig R. 
",2014-04-27,proquest.com/docview/1519411476/fulltext/1BE873CCA69240A4PQ/4
580,"Feeling no pressure, Assad keeps up attacks","Rubin, Trudy. 
",2014-04-27,proquest.com/docview/1519411450/fulltext/1BE873CCA69240A4PQ/24
581,"In a surprise, race looks wide open: CAMPAIGN 2014 | 13th CONGRESSIONAL DISTRICT","Parks, Jessica. 
",2014-04-28,proquest.com/docview/1519411535/fulltext/2B2D895DCB0B4704PQ/3
582,"Report mixed on benefits of medical pot: It could be helpful in multiple sclerosis, but there is insufficient data on other ailments.","Burling, Stacey. 
",2014-04-29,proquest.com/docview/1520046949/fulltext/F27A205733EC4CA0PQ/6
583,Hold off on legalizing recreational pot,"Riordan, Kevin. 
",2014-04-29,proquest.com/docview/1520046827/fulltext/F27A205733EC4CA0PQ/17
584,Rapper's case begins against 2 city officers: Meek Mill challenges being stopped in 2012.,"Roebuck, Jeremy. 
",2014-04-29,proquest.com/docview/1520046920/fulltext/F27A205733EC4CA0PQ/22
585,GLOUCESTER COUNTY: Water distribution resumes in Paulsboro,"Fichera, - Angelo. 
",2014-04-29,proquest.com/docview/1520046885/fulltext/F27A205733EC4CA0PQ/28
586,Ex-officer jailed for lies about lover,"Roebuck, Jeremy. 
",2014-04-29,proquest.com/docview/1520046836/fulltext/F27A205733EC4CA0PQ/34
587,"Rapper's case vs. 2 officers begins: Meek Mill contends the police made up a reason to detain him, which harmed his career.","Roebuck, Jeremy. 
",2014-04-29,proquest.com/docview/1520047025/fulltext/F27A205733EC4CA0PQ/40
588,Water quality panel ends long hiatus: The advisory group began considering regulations for a contaminant that is affecting S. Jersey towns.,"Fichera, Angelo. 
",2014-04-30,proquest.com/docview/1520046993/fulltext/4A097603E8104F2DPQ/18
589,"Corbett now backing pot Rx for some ill children: It could treat those with seizures. While the shift by the governor won praise, some want more.","Worden, Amy; McCulloughS, Marie. 
",2014-05-02,proquest.com/docview/1520508508/fulltext/82AD662CE1354FD9PQ/3
590,Kenney introduces new pot bill: His latest measure would make possession of less than an ounce of marijuana a civil violation punishable by a $25 fine.,"Graham, Troy. 
",2014-05-02,proquest.com/docview/1520508528/fulltext/82AD662CE1354FD9PQ/16
591,"Meek Mill loses rights lawsuit over police stop: Jurors faulted both the rapper and officers. ""I don't really expect them to understand,"" he said outside court.","Roebuck, Jeremy. 
",2014-05-02,proquest.com/docview/1520508504/fulltext/82AD662CE1354FD9PQ/17
592,"Rapper loses lawsuit over Phila. police stop: Jurors faulted both Meek Mill, who had sought $400,000, and the officers.","Roebuck, Jeremy. 
",2014-05-02,proquest.com/docview/1520508580/fulltext/82AD662CE1354FD9PQ/34
593,SideShow: YOUR DAILY DOSE OF GOSSIP,"Derakhshani, Tirdad. 
",2014-05-02,proquest.com/docview/1520508536/fulltext/82AD662CE1354FD9PQ/53
594,"D.A. assails district over boy with drug: Coatesville officials didn't call soon enough after finding a 7-year-old with heroin, he said.","Nadolny, Tricia L. 
",2014-05-06,proquest.com/docview/1521143188/fulltext/77DB3CAEE8024E90PQ/12
595,"Anatomy of a Main Line drug network: As court hearings continue, a 17-year-old said he'd been selling since the eighth grade.","Davis, Carolyn. 
",2014-05-08,proquest.com/docview/1522501895/fulltext/BBE44BB6FFEA465FPQ/1
596,"Big drug bust in Camden: Three years in the making, it nabbed mothers, sons, sisters and cousins.","Boren, Michael; BoyerS, Barbara. 
",2014-05-08,proquest.com/docview/1522501940/fulltext/BBE44BB6FFEA465FPQ/4
